               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11268,            0.030481,            0.027489,           0.0023692,              0.4359,            0.011759,           0.0030267,            0.081737,            0.013165,            0.020551,              0.0847,              0.0017,              0.0017
                   1,            0.090583,            0.029529,            0.020314,            0.096521,             0.28205,             0.12975,            0.057237,            0.066382,            0.010424,            0.018512,            0.068327,           0.0033267,           0.0033267
                   2,            0.078074,            0.026731,            0.015041,             0.73746,             0.19135,             0.22274,             0.12148,            0.057814,           0.0095548,            0.013843,            0.051775,           0.0047753,           0.0047753
                   3,            0.072696,            0.025945,            0.010999,             0.61967,             0.10256,            0.080854,            0.028533,            0.067853,           0.0065643,            0.014949,            0.035046,           0.0060456,           0.0060456
                   4,            0.068235,            0.023564,           0.0076782,             0.75518,             0.16704,             0.18721,             0.11056,            0.058413,           0.0057297,            0.017114,            0.018138,           0.0071378,           0.0071378
                   5,            0.064868,            0.022294,           0.0060673,             0.71067,              0.1859,             0.20717,            0.096018,            0.061784,           0.0060007,            0.018424,            0.007525,            0.007525,            0.007525
                   6,            0.065177,            0.022144,           0.0049542,             0.79739,             0.20513,             0.26437,             0.11833,            0.050844,            0.006199,           0.0076955,            0.007525,            0.007525,            0.007525
                   7,            0.062458,            0.021783,           0.0056336,             0.75218,             0.26282,             0.26258,             0.12775,            0.053294,             0.00525,           0.0063283,             0.00703,             0.00703,             0.00703
                   8,            0.054911,            0.021283,           0.0038781,             0.66095,             0.19231,             0.12859,            0.054439,            0.055076,            0.005598,           0.0057383,            0.006535,            0.006535,            0.006535
                   9,            0.053496,            0.020126,           0.0039219,             0.62576,             0.16667,            0.090605,            0.040231,             0.05975,             0.00515,           0.0089294,             0.00604,             0.00604,             0.00604
                  10,            0.057283,            0.020133,           0.0028562,             0.72731,             0.19872,             0.21266,            0.086372,            0.056211,           0.0049749,            0.006219,            0.005545,            0.005545,            0.005545
                  11,            0.047256,            0.019108,           0.0026013,             0.83638,             0.33333,              0.4093,             0.20965,            0.049771,           0.0049255,            0.004299,             0.00505,             0.00505,             0.00505
                  12,            0.052868,            0.019527,           0.0022779,             0.81205,             0.32995,             0.44013,             0.24304,            0.045847,           0.0047687,           0.0034986,            0.004555,            0.004555,            0.004555
                  13,            0.050891,            0.019169,           0.0023511,             0.91976,             0.42308,             0.44602,             0.24917,            0.047304,           0.0044568,           0.0061362,             0.00406,             0.00406,             0.00406
                  14,             0.04464,            0.017577,           0.0021295,              0.8905,             0.42949,               0.424,             0.23978,            0.043369,           0.0045541,           0.0082715,            0.003565,            0.003565,            0.003565
                  15,            0.041641,            0.018058,           0.0019528,             0.88176,             0.41026,             0.42345,             0.28859,            0.039542,           0.0045396,           0.0097336,             0.00307,             0.00307,             0.00307
                  16,            0.044293,            0.017071,            0.002597,             0.90632,             0.41704,             0.43364,             0.27759,             0.03731,           0.0044936,           0.0074675,            0.002575,            0.002575,            0.002575
                  17,             0.04467,            0.017939,           0.0023489,             0.91854,             0.39527,             0.44981,             0.29487,            0.035039,           0.0043938,           0.0065028,             0.00208,             0.00208,             0.00208
                  18,            0.040575,             0.01745,           0.0014702,              0.9556,             0.39464,             0.45877,             0.30387,             0.03592,           0.0043418,           0.0062773,            0.001585,            0.001585,            0.001585
                  19,            0.037743,            0.015378,           0.0017917,             0.93752,             0.42308,              0.4608,             0.31275,             0.03477,           0.0043284,           0.0040222,             0.00109,             0.00109,             0.00109
