               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11847,            0.033636,            0.030039,            0.001328,                 0.2,           0.0013367,          0.00020351,             0.10884,            0.024628,            0.029535,              0.0991,              0.0001,              0.0001
                   1,             0.11788,            0.030312,            0.030158,           0.0013298,                 0.2,           0.0014252,          0.00022215,             0.10883,            0.024208,            0.029468,            0.097299,          0.00029901,          0.00029901
                   2,             0.11775,            0.031325,             0.02951,           0.0019859,             0.36667,           0.0019593,          0.00019593,             0.10802,            0.023594,            0.029242,            0.095497,           0.0004967,           0.0004967
                   3,             0.11791,            0.029149,            0.029073,           0.0020288,             0.43333,           0.0037598,          0.00037598,             0.10588,            0.024227,            0.029449,            0.093693,          0.00069307,          0.00069307
                   4,             0.11424,            0.030466,            0.028771,           0.0026728,             0.53333,           0.0030967,          0.00041772,             0.10397,            0.023727,            0.028949,            0.091888,          0.00088812,          0.00088812
                   5,             0.11241,            0.030538,            0.028738,           0.0020523,             0.43333,           0.0030262,          0.00059338,             0.10204,            0.023197,            0.028497,            0.090082,           0.0010819,           0.0010819
                   6,             0.11177,            0.032391,            0.027634,           0.0013405,             0.26667,            0.001386,          0.00031263,             0.10127,            0.022457,            0.027832,            0.088274,           0.0012743,           0.0012743
                   7,             0.10855,            0.030106,            0.026606,           0.0019481,             0.36667,           0.0017831,           0.0003391,             0.10078,             0.02153,            0.027423,            0.086465,           0.0014653,           0.0014653
                   8,             0.10449,            0.029052,            0.026609,          0.00076104,             0.16667,           0.0011882,          0.00011882,            0.098892,            0.021372,            0.027106,            0.084655,           0.0016551,           0.0016551
                   9,             0.10399,            0.029685,            0.025284,           0.0013551,             0.26667,           0.0010369,          0.00010369,            0.095926,            0.021349,            0.026776,            0.082844,           0.0018436,           0.0018436
                  10,             0.10394,            0.033742,            0.025677,           0.0020846,             0.43333,           0.0034216,          0.00073294,            0.094018,            0.021317,            0.026263,            0.081031,           0.0020307,           0.0020307
                  11,            0.096717,            0.029098,            0.024989,           0.0021284,             0.43333,           0.0073499,            0.001727,            0.093471,            0.020985,            0.024597,            0.079217,           0.0022165,           0.0022165
                  12,             0.10308,            0.031531,            0.024342,           0.0021811,             0.43333,           0.0071239,           0.0013908,            0.093765,            0.020699,             0.02417,            0.077401,            0.002401,            0.002401
                  13,            0.095971,            0.026646,             0.02222,           0.0021026,             0.43333,           0.0047749,           0.0010137,            0.092862,            0.020151,            0.024353,            0.075584,           0.0025842,           0.0025842
                  14,            0.094792,            0.031964,            0.022212,           0.0027905,             0.53333,           0.0038002,           0.0014373,            0.093372,            0.019382,            0.023486,            0.073766,            0.002766,            0.002766
                  15,             0.10043,            0.030581,            0.023131,           0.0027159,             0.53333,            0.003865,          0.00087271,            0.089964,            0.019817,            0.023383,            0.071947,           0.0029465,           0.0029465
                  16,            0.093435,             0.02972,            0.020834,            0.002183,             0.43333,           0.0016998,           0.0002255,            0.090979,            0.019249,            0.022186,            0.070126,           0.0031258,           0.0031258
                  17,            0.089305,            0.031589,            0.019548,           0.0030311,                 0.6,           0.0036434,             0.00104,            0.094911,            0.017933,            0.021304,            0.068304,           0.0033037,           0.0033037
                  18,            0.090551,            0.027826,            0.020001,           0.0033845,             0.63333,           0.0058912,           0.0019369,            0.088095,            0.018911,            0.021582,             0.06648,           0.0034802,           0.0034802
                  19,            0.090089,            0.031087,             0.02162,          0.00050201,                 0.1,          0.00058717,          0.00027847,            0.087579,            0.019068,            0.024261,            0.064655,           0.0036555,           0.0036555
                  20,            0.086691,            0.031369,            0.017583,          0.00049702,                 0.1,          0.00041652,           0.0001925,            0.089695,            0.018509,            0.023575,            0.062829,           0.0038294,           0.0038294
                  21,            0.086142,            0.029447,            0.017274,           0.0026719,             0.43333,           0.0025005,          0.00051857,             0.08903,            0.018423,            0.022522,            0.061002,            0.004002,            0.004002
                  22,            0.087214,            0.026011,            0.018031,           0.0026504,             0.43333,           0.0075653,            0.003366,            0.084261,              0.0191,             0.02084,            0.059173,           0.0041733,           0.0041733
